domain,total,M,F,18-24,25-34,35-44,45-54,>=55
skidrowcrack.ru,1,1,0,0,1,0,0,0
tvprog.a.ua,1,1,0,0,0,1,0,0
grosstour.ru,5,5,0,0,5,0,0,0
schools.mn.ru,21,2,0,0,0,0,2,0
topkuhnya.com,2,0,2,0,0,2,0,0
megamag74.ru,1,1,0,0,0,0,1,0
sdelala-sama.ru,52,12,40,0,6,26,5,15
bentenplay.ru,4,0,2,0,0,2,0,0
sovietcinema.ru,8,7,1,0,0,5,3,0
olimpkniga.ru,1,0,1,0,1,0,0,0
glazovmebel.net,5,3,2,1,4,0,0,0
ru-precious-met.livejournal.com,5,5,0,0,0,5,0,0
mirputeshestvii.ru,8,3,2,0,0,3,1,1
sex-fotki.net,28,23,4,2,8,2,4,11
startubuntu.ru,11,10,1,1,0,10,0,0
prikol.bigmir.net,58,46,10,0,12,11,33,0
interbuh.com.ua,1,0,1,0,0,1,0,0
loveplanet-loveplanet.ru,109,83,25,0,9,9,90,0
rabotanet1.ru,5,5,0,0,0,5,0,0
pet-house.ru,7,2,5,0,5,0,2,0
thebudgetdecorator.com,2,0,2,0,0,0,0,2
2015rik.com.ua,9,1,8,2,3,2,2,0
boredbug.com,10,10,0,0,0,0,10,0
sp-ryazan.ru,1,1,0,0,0,1,0,0
himkniga.com,2,0,2,0,0,2,0,0
the-radio.ru,45,16,26,4,33,2,3,0
syktyvkarspravka.ru,1,0,1,0,1,0,0,0
dieter-bohlen.ru,6,0,6,0,6,0,0,0
nym1.ib.adnxs.com,7,7,0,0,7,0,0,0
zametkielectrika.ru,101,86,14,3,61,26,10,0
saynoacne.ru,7,1,5,2,3,1,0,0
16model.net,2,2,0,0,2,0,0,0
sunglassesitaly.com,1,1,0,0,0,0,1,0
vologda.mk.ru,7,3,4,0,5,0,2,0
globalrussians.com,5,5,0,0,3,2,0,0
demand.lv,2,0,2,2,0,0,0,0
dolgoprudniy.com,1,0,1,0,0,1,0,0
soccerlevel.ru,6,0,6,0,6,0,0,0
razobral.com,4,4,0,0,0,0,0,4
samodelki-doma.at.ua,1,1,0,0,0,1,0,0
maksigon.ru,20,18,2,5,6,7,2,0
onseason.ru,1,0,1,0,0,1,0,0
kxk.ru,1,1,0,0,0,1,0,0
umes.blue,1,0,1,0,0,1,0,0
chel.mk.ru,46,19,23,7,7,10,11,7
parking.mos.ru,7,0,7,0,1,6,0,0
spravkachita.ru,1,1,0,0,1,0,0,0
megaxxxebony.com,4,4,0,0,0,0,4,0
expresstagdom.ru,2,2,0,2,0,0,0,0
generation.ru,2,0,2,0,2,0,0,0
xn--80aadkgb6beg6agmf9l.xn--p1ai,1,0,1,0,0,0,1,0
sch549.ru,1,1,0,0,1,0,0,0
shkolamonsterhigh.ru,4,4,0,0,4,0,0,0
line-x74.ru,2,2,0,0,1,0,1,0
offers.bycontext.com,39,15,20,16,13,5,1,0
xn--80aaoslhu6j.xn--p1ai,1,0,1,0,0,0,0,1
devichnik.su,2,0,2,2,0,0,0,0
callzone.info,14,4,9,1,8,4,0,0
vladimir.irr.ru,43,18,25,0,13,29,1,0
grand-obuv.ru,4,0,4,4,0,0,0,0
nsk.viasun.ru,1,0,1,0,0,0,1,0
fanfilms.ru,23,0,23,23,0,0,0,0
art-furniture.ru,29,29,0,0,7,22,0,0
blog.ink361.com,5,5,0,0,0,0,5,0
anchorpoint.clicads.com,1,1,0,0,0,1,0,0
pgups.com,20,17,0,0,4,13,0,0
nayiada.ru,1,0,1,0,1,0,0,0
artkruzhevo.tiu.ru,3,3,0,0,3,0,0,0
kuzbassnews.ru,3,1,2,0,0,1,2,0
przemysl.ic.gov.pl,5,5,0,0,0,0,5,0
online-guitar-tuner.net,2,0,2,0,0,2,0,0
ивановский-трикотаж.рф,2,0,2,0,0,0,2,0
reklama.barnaul.mnogonado.net,2,0,2,0,1,1,0,0
prognozz.ru,2,1,1,0,1,0,1,0
murmansk.spravker.ru,3,0,3,0,3,0,0,0
srubizakaz.ru,2,1,0,0,1,0,0,0
adizes.info,2,2,0,0,0,2,0,0
films.imhonet.ru,15331,6313,7040,1093,6078,3169,2375,638
centr-firms.ru,4,3,1,0,1,3,0,0
kislovodskgirls.com,20,20,0,0,0,0,20,0
techno.x51.ru,5,3,2,0,2,3,0,0
xn------5cdancgnhz5agfe1arz5af5a4o4a6e.xn--e1arcbfn.xn--p1ai,2,2,0,0,2,0,0,0
celesta-spb.ru,1,1,0,0,1,0,0,0
chinim-dom.ru,1,0,1,0,1,0,0,0
pidruchnik.net,6,1,5,0,0,6,0,0
a-dent.com.ua,1,1,0,0,0,1,0,0
smsvisit.ru,1,0,1,0,1,0,0,0
alcohol-spb.ru,2,2,0,0,2,0,0,0
vyazanie-v-radost.ru,1,1,0,0,0,1,0,0
dmboard.ru,37,37,0,0,37,0,0,0
eo-uagp.narod.ru,1,1,0,0,1,0,0,0
vopros-remont.ru,1,0,1,0,0,1,0,0
novaposhta.ua,1,1,0,0,0,1,0,0
online-travian.ucoz.ru,1,1,0,0,0,0,1,0
gogomoscow.ru,3,3,0,0,0,3,0,0
perunica.ru,30,18,12,0,9,10,11,0
promebli.com.ua,25,0,25,0,1,24,0,0
griby.org.ua,2,2,0,0,2,0,0,0
golos-tv.ru,10,0,10,0,7,0,3,0
hobby-compass.ru,1,0,1,0,1,0,0,0
okkhmer.com,1,1,0,0,0,0,1,0
kinolenta.ucoz.ru,3,3,0,0,0,3,0,0
infotable.ru,4,1,2,0,2,0,1,0
countrycode.org,2,2,0,0,2,0,0,0
allsim.org,1,1,0,0,0,1,0,0
kurortinfo.ru,10,5,5,4,3,1,2,0
4tablet-pc.net,82,68,9,6,17,32,22,0
reporter.az,1,1,0,0,0,0,1,0
citieslist.ru,1,1,0,0,1,0,0,0
pk-help.com,28,21,5,3,13,6,4,0
ecsposhop.ru,2,2,0,0,2,0,0,0
daddlycot.ucoz.net,1,0,1,0,0,1,0,0
forum.bezmolvie.ru,86,81,5,0,2,84,0,0
appindex.com,1,1,0,0,1,0,0,0
tatar-foto.ru,4,4,0,0,4,0,0,0
mvi-ship.ru,1,1,0,0,0,1,0,0
69-club.com,12,0,12,0,0,12,0,0
intereconom.com,2,1,1,1,1,0,0,0
janey-jane.deviantart.com,1,0,1,0,1,0,0,0
vashpsixolog.ru,41,19,22,7,24,8,2,0
pravoslavie.by,5,4,0,1,0,2,0,1
bizinfo.by,1,0,1,1,0,0,0,0
swati.ru,1,0,1,0,1,0,0,0
download.navitel.su,12,12,0,0,12,0,0,0
badkino.ru,56,44,11,7,25,11,12,0
el-up.ru,11,10,1,2,5,4,0,0
top-smi.com,121,27,68,17,9,23,27,19
education.toptraders.info,2,2,0,0,0,2,0,0
nsk.aif.ru,27,16,8,3,2,7,12,0
appetitnye-recepty.ru,4,0,4,1,2,0,1,0
dobrolet24.ru,2,1,1,0,1,0,1,0
odensa-sama.ru,15,1,14,0,1,8,6,0
alcopa-auction.fr,1,1,0,0,0,0,1,0
mainkraft-onlayn.ru,4,4,0,0,0,0,4,0
ophthalmolog.ru,2,0,2,0,2,0,0,0
world-of-tank.ucoz.ru,1,1,0,0,1,0,0,0
garantstroi.eb24.ru,1,1,0,0,0,1,0,0
the-blueprints.com,2,2,0,0,0,2,0,0
aviationhumor.net,1,1,0,0,0,0,1,0
polyvision.ru,3,2,0,2,0,0,0,0
motors-shop.com,3,3,0,0,1,2,0,0
voyage-line.com,1,0,1,0,0,0,1,0
gruffity.ru,2,0,2,0,0,0,2,0
voloskova.ru,32,4,27,20,3,6,2,0
mordvinia.ru,4,4,0,0,4,0,0,0
schoolthumbs.com,1,1,0,0,0,0,1,0
aliez.tv,5,3,0,0,0,3,0,0
torontovka.com,3,0,3,0,1,1,1,0
nonktube.com,28,1,0,0,1,0,0,0
vteplicax.ru,3,1,2,0,2,0,1,0
burocrats.ru,4,2,2,3,0,1,0,0
systema-tricolor.ru,1,1,0,0,1,0,0,0
sport.mstm.samregion.ru,1,0,1,0,1,0,0,0
tete-a-tete-magazine.fr,1,0,1,0,0,1,0,0
h10010.www1.hp.com,8,7,1,1,2,1,4,0
female-orgazm.com,4,4,0,0,0,4,0,0
transport.orgp.spb.ru,23,13,10,8,9,5,1,0
glaz.tv,1309,724,486,154,674,210,115,57
kazachiydvor.gidm.ru,1,0,1,0,0,1,0,0
belgorod.avtotochki.ru,1,1,0,0,0,1,0,0
kino.obozrevatel.com,28,9,14,1,13,4,5,0
klinika-ulybka.ru,6,2,0,0,0,2,0,0
krasnoyarsk.volgastroy.ru,7,7,0,0,7,0,0,0
msk.leksiki.ru,1,1,0,0,1,0,0,0
www53.zippyshare.com,2,2,0,0,2,0,0,0
photoicar.ru,34,15,17,0,19,9,3,1
multik.ucoz.ua,3,3,0,0,3,0,0,0
orenzvuk.ru,2,2,0,0,0,0,2,0
teplodom.ru,37,37,0,37,0,0,0,0
uae-dubai.ru,4,0,4,0,1,3,0,0
world-of-warcraft.ru.softonic.com,1,1,0,1,0,0,0,0
etax.ru,1,0,1,0,0,0,1,0
marlemar.ru,45,0,45,0,44,1,0,0
volgograd.askorbin.ru,7,4,1,3,1,0,0,1
supermarketitaly.com,1,0,1,0,0,1,0,0
rezultat.ucoz.net,1,1,0,0,0,1,0,0
ze-ma.ru,1,1,0,0,1,0,0,0
p114.ru,1,0,1,0,1,0,0,0
naro-fominsk.miltor.ru,4,0,4,0,0,4,0,0
tracebuzzer.com,1,1,0,0,1,0,0,0
flirtru.ru,1,1,0,1,0,0,0,0
teplici-policarbonat.ru,1,1,0,0,0,1,0,0
moskva.dazzy.ru,3,1,2,0,0,1,2,0
egypttour.in.ua,4,2,2,0,1,1,2,0
freegamescasual.com,70,5,2,0,0,6,1,0
247youtubes.com,1,1,0,0,0,1,0,0
homhouse.ru,10,0,10,0,4,0,6,0
wp-notes.ru,7,7,0,0,7,0,0,0
sankt-peterburg.electro-gid.ru,1,1,0,0,1,0,0,0
odinews.ru,7,1,6,0,1,0,6,0
mp-tj.clan.su,1,0,1,1,0,0,0,0
gervic.ru,3,0,3,0,3,0,0,0
oblgazeta.ru,1,0,1,0,0,1,0,0
freejournal.biz,6,6,0,0,0,1,2,3
dietaminus.ru,1,0,1,0,1,0,0,0
teslamotors.by,4,4,0,0,4,0,0,0
fbethough.clan.su,1,1,0,0,0,1,0,0
palettetravel.ru,2,2,0,0,2,0,0,0
maximonline.ru,3,0,3,0,1,0,2,0
papaimama.ru,182,36,138,20,81,42,14,17
travelpost.ru,3,1,2,1,0,2,0,0
pokypaem.ru,1,1,0,0,0,0,1,0
hmonghot.com,6,3,0,0,1,2,0,0
newspb.ru,1,1,0,0,1,0,0,0
paralay.com,4,4,0,0,0,4,0,0
betoncon.ru,19,2,0,0,2,0,0,0
skyscrapercity.com,1615,1512,41,198,1156,34,163,2
genreparrot.com,1,1,0,0,1,0,0,0
traffic22.ru,1,1,0,0,1,0,0,0
vaskino-sch.ru,3,3,0,0,0,0,3,0
accpanavto.ru,1,1,0,0,0,0,1,0
mir-platev.ru,2,0,2,0,0,2,0,0
golovnoy-mozg.ru,1,0,1,0,0,1,0,0
sln-club.ru,18,0,18,0,0,18,0,0
5740.ltd.ua,1,1,0,0,1,0,0,0
informaplus.ru,4,2,2,2,2,0,0,0
avi.fi,4,4,0,4,0,0,0,0
defiparis-school.ru,3,0,3,0,0,1,2,0
mnogomatrasov.ru,1,1,0,1,0,0,0,0
vlkonline.com,1,0,1,0,1,0,0,0
perfectporno.ru,39,38,0,10,23,2,3,0
prok-altai.ru,2,0,2,0,2,0,0,0
kidvskatfan.ru,5,0,5,0,0,5,0,0
ru.anno-online.com,8,8,0,0,0,0,8,0
driverguide.com.ua,2,2,0,0,2,0,0,0
cgbq.lgius.2.gsr.anonimizing.com,24,24,0,0,24,0,0,0
chirkofff.com,3,1,2,0,1,1,1,0
romip.ru,1,1,0,1,0,0,0,0
citroen.autocentre.ua,2,1,1,0,2,0,0,0
kadmin.ru,1,1,0,0,0,1,0,0
arigus-tv.ru,125,123,2,0,123,0,2,0
razlinovka.ru,2,0,2,2,0,0,0,0
juza.ru,1,1,0,0,1,0,0,0
ulitkabob.ru,2,0,2,0,0,2,0,0
aquaquality.ru,5,0,2,0,1,0,1,0
helpstudent5.narod.ru,1,1,0,0,1,0,0,0
biz-iskun.ru,2,2,0,0,0,0,2,0
firefox.yandex.ru,73,73,0,0,0,73,0,0
prikolnovosti.com,8,5,3,1,1,5,0,1
linux-info.ru,2,2,0,0,0,2,0,0
health-ua.org,58,9,46,6,13,25,11,0
centrumher.eu,2,2,0,0,2,0,0,0
ucheba.kiev.ua,1,1,0,0,0,1,0,0
kiwzi.net,42,15,27,0,16,25,1,0
forumreligions.ru,1,0,1,0,0,1,0,0
duetu.ru,2,2,0,0,0,2,0,0
fitsport.ru,1,1,0,0,1,0,0,0
fasgeo.ru,1,0,1,0,0,1,0,0
devochki.com,1686,1211,65,37,654,499,60,26
wital.clan.su,1,1,0,0,0,1,0,0
temowind.ru,2,2,0,0,2,0,0,0
radiomaster.com.ua,5,4,1,0,2,0,2,1
orioffice.ru,3,0,3,0,0,3,0,0
cherepovets.irr.ru,4,1,3,0,0,4,0,0
buying.temarema.ru,3,3,0,0,0,0,3,0
dressupwho.com,34,0,34,34,0,0,0,0
wallppapers.ru,2,0,2,0,0,2,0,0
serialy-tv.ru,1,1,0,0,0,0,1,0
inface.ru,3,1,2,0,0,3,0,0
comp.tradedir.ru,39,22,14,4,12,18,2,0
koolertron.com,1,1,0,0,1,0,0,0
msk.rjob.ru,2,2,0,0,0,2,0,0
100500.tv,24,24,0,0,24,0,0,0
wateronly.ru,1,1,0,0,1,0,0,0
rompy.ru,1,0,1,0,1,0,0,0
ns-sts.ru,8,8,0,0,0,8,0,0
all-cs.net.ru,8,8,0,2,6,0,0,0
adventika.ru,24,22,1,1,22,0,0,0
rbshow.ru,7,7,0,0,0,0,0,7
lugansk.co.ua,3,0,3,0,0,3,0,0
fastcardtech.com,7,7,0,7,0,0,0,0
school4.ucoz.ru,1,0,1,0,0,1,0,0
ondmk.blogspot.com,1,1,0,0,1,0,0,0
hydrostock.com,6,6,0,0,0,6,0,0
itis-life.ru,2,2,0,0,0,2,0,0
infovip.biz,5,5,0,0,0,5,0,0
kakclub.com,34,19,14,6,9,14,3,1
avtokrepeg.net,2,2,0,0,1,0,1,0
customer.comstar-direct.ru,2,2,0,0,0,0,0,2
igraz.ru,202,93,81,40,78,35,20,1
topretroporn.com,1,1,0,0,0,1,0,0
invest72.ru,1,0,1,0,0,1,0,0
alexnettm.org.ua,3,3,0,0,3,0,0,0
administrative.joosy.ru,35,15,19,2,16,14,1,1
2223555.ru,1,1,0,1,0,0,0,0
mebli-blik.com.ua,2,0,2,0,0,2,0,0
mvideo.ru,370,227,121,51,128,119,37,13
voda-spb.ru,1,1,0,0,0,0,1,0
s100.in.ua,6,0,6,0,0,6,0,0
shop.dis-service.ru,1,1,0,0,1,0,0,0
anapa.spravker.ru,8,6,0,0,6,0,0,0
xn--34-6kcaak9ak4cmxgg1e.xn--p1ai,1,1,0,0,1,0,0,0
otkroveniya43.ru,1,1,0,0,1,0,0,0
slavestube.com,2,2,0,0,1,0,1,0
tuk-tuk-dom.ru,4,4,0,4,0,0,0,0
tatarstan.vsedomarossii.ru,6,0,3,0,1,0,2,0
kia.nnmotors.ru,8,0,8,0,8,0,0,0
audiomack.com,24,19,3,3,14,5,0,0
3c-lxa.mail.com,9,9,0,0,0,9,0,0
cekctube.net,3,3,0,0,0,1,2,0
vasulunka4.narod.ru,1,1,0,0,0,0,0,1
mir24.tv,572,384,165,23,146,211,116,53
45minut.info,1,0,1,0,1,0,0,0
bmt-medical.ru,1,0,1,0,0,0,1,0
kredit.mirtesen.ru,2,0,2,0,2,0,0,0
mini-hotel.kiev.ua,17,7,10,0,0,7,10,0
eurofit.kiev.ua,1,1,0,0,0,0,1,0
test.kirensky.ru,1,0,1,0,1,0,0,0
nastybulb.com,1,1,0,0,0,0,1,0
planetsuzy.org,3,3,0,0,3,0,0,0
sait-o-runah.ru,1,0,1,0,0,0,1,0
maded.my1.ru,2,2,0,0,2,0,0,0
u360id745.creanova.org,4,2,2,0,1,0,2,1
buy-nail.com,3,0,3,0,0,3,0,0
mapdv.ru,3,0,3,0,0,0,3,0
kazan.tat.raise.ru,1,1,0,0,1,0,0,0
esmag.ru,688,335,353,0,18,467,203,0
kapital-audit.ru,10,1,4,0,0,1,2,2
mapakids.net,2,1,1,0,1,1,0,0
love.ufa7.ru,23,4,19,0,0,4,19,0
sciweavers.org,2,1,1,1,1,0,0,0
okato-kod.ru,5,1,4,0,0,1,0,4
powerbulls.clan.su,2,0,2,0,2,0,0,0
stgetman.narod.ru,4,0,4,0,2,0,2,0
dearhouse.ru,3,3,0,0,0,3,0,0
magazka.com,2,0,2,0,2,0,0,0
boora.info,1,1,0,0,0,0,0,1
bookfi-org.advon.net,1,1,0,0,0,1,0,0
avtotrey.ru,1,1,0,0,1,0,0,0
gruzovikklub.ucoz.ru,4,1,3,0,4,0,0,0
vedun.ru,1,1,0,0,0,1,0,0
nnov.kp.ru,9,7,2,0,1,1,7,0
pidruchniki.net,6,0,6,0,6,0,0,0
restin.crimea.ua,2,0,1,0,0,0,0,1
kmory.ru,1,1,0,0,0,1,0,0
softapps.ru,15,4,11,0,1,12,2,0
chipmaker.ru,5,4,0,1,1,2,0,0
world.guns.ru,163,146,2,4,19,114,11,0
g-rostov.ru,1,0,1,0,1,0,0,0
phonomania.ru,1,0,1,0,0,0,0,1
uareview.com,2,2,0,0,2,0,0,0
oasisplusk.ru,1,0,1,0,0,0,0,1
mirzubov.info,29,3,26,4,9,5,2,9
gromdoen.ru,3,0,3,3,0,0,0,0
myltivarka-recept.ru,6,6,0,0,1,0,5,0
bookskeeper.ru,22,15,5,2,11,5,2,0
img.fly-chat.ru,10,10,0,0,8,0,0,2
arts.in.ua,48,43,5,0,3,5,40,0
cs.hse.ru,1,1,0,0,0,1,0,0
simpleled.ru,4,2,2,0,4,0,0,0
softfolds.co.uk,2,0,2,0,2,0,0,0
52332.ru.all.biz,3,3,0,0,3,0,0,0
chasikov.net.ru,6,6,0,0,4,2,0,0
fenshui.ucoz.ru,1,0,1,0,0,1,0,0
gorod.cn.ua,15,9,6,2,1,8,4,0
bonappeti.info,3,0,1,0,0,0,1,0
wap.ordendgedaev.borda.ru,1,1,0,1,0,0,0,0
sochinenieprofi.ru,3,1,2,0,2,1,0,0
vash-sputnik.ucoz.ru,2,0,2,0,2,0,0,0
vedmochka.net,10,3,6,2,6,0,0,1
amiraparfum.ru,1,1,0,1,0,0,0,0
tramplinframe.ucoz.ru,1,0,1,0,0,1,0,0
vintagesexnow.com,1,1,0,0,0,1,0,0
roverland.ru,7,7,0,0,0,7,0,0
ubuntugeek.com,1,1,0,0,1,0,0,0
krasnogorsk.bezformata.ru,1,0,1,0,1,0,0,0
7fm.by,4,3,1,0,0,4,0,0
antiviruses.at.ua,3,3,0,0,0,3,0,0
2112.ru,7,6,1,0,2,4,1,0
iflscience.com,8,7,1,1,4,0,3,0
shematic.net,4,4,0,0,0,0,0,4
xn-----6kcbgbjfidsrb7dwbjdrep0gterel.xn--p1ai,1,0,1,0,0,1,0,0
sexxxgf.com,1,1,0,0,0,1,0,0
tcversal.ru,1,1,0,0,1,0,0,0
dometod.ru,20,10,9,1,0,7,10,1
taganrogtv.ru,2,2,0,0,0,2,0,0
xn-----8kcgr2abxjdleddidf8v.xn--p1ai,1,1,0,0,0,1,0,0
vachevskiy.ru,5,1,4,2,0,3,0,0
v-akril.ru,2,0,2,0,2,0,0,0
mulplys.at.ua,2,0,2,2,0,0,0,0
binary-zarabotok.ru,2,0,2,0,2,0,0,0
raks.com.ua,18,7,11,11,7,0,0,0
stylejdm.ru,10,10,0,10,0,0,0,0
subaruparts.ru,1,1,0,0,1,0,0,0
narod-sovet.ru,43,18,21,1,14,13,7,4
ilyina-sf.narod.ru,1,0,1,0,1,0,0,0
bambinchic.ru,12,0,12,12,0,0,0,0
xn------8cdafeebkli5a1ai6djzvks4c5j.xn--p1ai,2,2,0,0,0,0,2,0
hna-dlya-tatu.at.ua,4,4,0,0,0,4,0,0
rmsauto.ru,1,1,0,0,0,0,1,0
tula.003ms.ru,1,0,1,0,1,0,0,0
otsos.tv,98,61,37,1,67,18,1,11
pyatigorsk.russiacatalog.ru,1,0,1,0,0,0,1,0
ypag.ru,5,4,1,0,0,1,4,0
фотогалактика.рф,1,1,0,0,0,1,0,0
faktor-schastya.ru,2,0,2,0,2,0,0,0
aviasales.ru,13,8,4,1,5,2,4,0
dizzyanal.com,1,1,0,0,0,1,0,0
fakty.ua,152,73,72,6,28,56,53,2
kiev.convdocs.org,2,2,0,0,2,0,0,0
avto.at.ua,2,2,0,0,0,0,2,0
madam-kamelia.ru,22,0,21,3,7,10,0,1
sociopat.ru,2,2,0,0,2,0,0,0
vladimirpickup.ucoz.ru,2,0,2,0,0,2,0,0
pfim.tgizd.ru,37,37,0,0,0,0,37,0
ictrip.ru,1,1,0,1,0,0,0,0
atarata.ru,95,83,12,1,5,87,2,0
komuskidku.com.ua,2,0,2,2,0,0,0,0
hyundaitruckclub.forum24.ru,14,14,0,0,0,14,0,0
1obl.ru,141,49,74,23,53,29,7,11
zelezki.ru,5,5,0,0,3,2,0,0
ivteme.net,9,9,0,0,0,0,9,0
standards.ru,23,8,11,0,13,3,0,3
chatbot.tw1.ru,1,0,1,0,0,1,0,0
megakino.org,2,2,0,0,2,0,0,0
weldcom.ru,3,3,0,0,3,0,0,0
3dmir.net,2,2,0,0,1,1,0,0
aburmu4.tv,245,109,121,20,97,76,32,5
whatdress.ru,2,0,2,0,0,0,2,0
art-urok.ru,8,0,8,2,0,0,6,0
ltcompany.com,30,7,23,0,13,16,1,0
remo-zavod.ru,99,81,18,14,74,11,0,0
moncheriwedding.ru,32,0,32,31,1,0,0,0
daidostup-online.ru,1,0,1,0,0,0,1,0
&referrer=realtor.com,1,0,1,0,0,0,1,0
teenselfvids.com,8,8,0,0,0,2,6,0
find-a-teacher.org,4,0,4,0,1,3,0,0
rostov.ru,2,1,1,1,1,0,0,0
utrew.hut.ru,1,1,0,0,0,1,0,0
upskirtcollection.com,2,2,0,0,2,0,0,0
woodturner.org,2,2,0,2,0,0,0,0
amur-ipsc.ru,1,1,0,0,1,0,0,0
egeteka.ru,5,2,3,0,1,3,1,0
uzinform.com,4,4,0,0,4,0,0,0
woman-skvo.ru,6,0,6,0,6,0,0,0
istorya.pro,1,0,1,0,0,1,0,0
express-money31.ru,7,7,0,0,3,3,1,0
rukodelie.moya-kopilochka.ru,2,0,2,0,1,1,0,0
agroprombank.com,1,1,0,0,0,1,0,0
hudozhnikam.ru,3,0,3,2,0,1,0,0
pionertur.ru,8,2,6,0,0,4,3,1
itswat.ru,1,0,1,0,0,1,0,0
albert-einstein.ru,1,0,1,0,1,0,0,0
ruzhk.ucoz.ru,2,2,0,0,0,2,0,0
obretenie.info,3,2,0,0,2,0,0,0
gadanie-i-goroskop.ru,5,0,5,3,0,2,0,0
8a.ru,2,1,1,0,1,0,1,0
tihvesti.ru,8,0,8,0,5,3,0,0
ufadrivers.ru,1,1,0,0,1,0,0,0
bezotkazniki-ru.ru,2,0,2,0,0,0,2,0
musical-video.net,27,26,1,0,2,3,22,0
uozp.akcentplus.ru,9,4,3,0,4,3,0,0
montenegro.gidm.ru,4,4,0,0,4,0,0,0
omega-inter.ru,3,1,2,0,2,1,0,0
radiant.ucoz.ua,1,1,0,0,0,1,0,0
kuzminaknit.blogspot.ru,2,0,2,0,2,0,0,0
igrovoj-portal.ru,30,2,28,0,3,23,2,2
glassglobe.ru,7,7,0,0,0,7,0,0
jap4drive.ru,2,2,0,0,0,0,2,0
tutdizain.com,5,3,2,0,2,0,0,3
a-nikonov.livejournal.com,1,1,0,0,1,0,0,0
allthelyrics.com,8,5,3,3,0,5,0,0
motopiter.ru,83,83,0,0,19,64,0,0
livejournal.me,3,0,3,1,2,0,0,0
mvrwq3y.nvzwwltsou.cmle.ru,2,2,0,0,0,2,0,0
kuplu.kz,2,0,2,0,0,0,2,0
kirishi-online.ru,1,0,1,0,0,1,0,0
voronezh.neobroker.ru,3,3,0,1,0,1,1,0
alfapoint.ru,7,7,0,7,0,0,0,0
ejourney.ru,19,1,18,0,4,15,0,0
povary.ru,9,1,8,0,2,7,0,0
occupacii-karelii.net,1,1,0,0,0,1,0,0
mirstyle.ru,1,0,1,0,1,0,0,0
praim-mebel.ru,18,17,1,1,2,0,15,0
bilshe.com,20,11,6,1,10,6,0,0
rybafish.umclidet.com,4,4,0,0,1,0,3,0
drugforcar.ru,2,2,0,0,2,0,0,0
jcmusic.net,2,0,2,0,0,0,2,0
lovely-horse.ucoz.ru,1,0,1,0,1,0,0,0
readywork.ru,5,1,4,2,0,3,0,0
opensubtitles.website,2,2,0,0,0,2,0,0
ooo-maturesex.com,37,37,0,0,28,9,0,0
ufa.narule.ru,10,1,9,0,9,1,0,0
tournet.ru,26,15,9,7,8,8,1,0
n.loveeto.ru,1,1,0,0,0,0,1,0
xn--80ahel0abgehn8l.xn--p1ai,10,0,10,0,10,0,0,0
unistream.ru,5,0,5,0,5,0,0,0
karcher.ru,268,189,30,45,21,118,25,10
tradecatalog.ru,2,0,2,0,2,0,0,0
yekaterinburg.big-book-realty.ru,1,0,1,0,0,1,0,0
